doi,authors,comments,updated,categories
10.1093/mnras/stv333,"[arxiv.Result.Author('M. Dembska'), arxiv.Result.Author('R. Basu'), arxiv.Result.Author('J. Kijak'), arxiv.Result.Author('W. Lewandowski')]","7 pages, 3 tables, 5 figures, accepted for publication in MNRAS",2015-02-24 10:54:07+00:00,"['astro-ph.HE', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1051/0004-6361/201425196,"[arxiv.Result.Author('M. Pilia'), arxiv.Result.Author('J. W. T. Hessels'), arxiv.Result.Author('B. W. Stappers'), arxiv.Result.Author('V. I. Kondratiev'), arxiv.Result.Author('M. Kramer'), arxiv.Result.Author('J. van Leeuwen'), arxiv.Result.Author('P. Weltevrede'), arxiv.Result.Author('A. G. Lyne'), arxiv.Result.Author('K. Zagkouris'), arxiv.Result.Author('T. E. Hassall'), arxiv.Result.Author('A. V. Bilous'), arxiv.Result.Author('R. P. Breton'), arxiv.Result.Author('H. Falcke'), arxiv.Result.Author('J. -M. Grießmeier'), arxiv.Result.Author('E. Keane'), arxiv.Result.Author('A. Karastergiou'), arxiv.Result.Author('M. Kuniyoshi'), arxiv.Result.Author('A. Noutsos'), arxiv.Result.Author('S. Osłowski'), arxiv.Result.Author('M. Serylak'), arxiv.Result.Author('C. Sobey'), arxiv.Result.Author('S. ter Veen'), arxiv.Result.Author('A. Alexov'), arxiv.Result.Author('J. Anderson'), arxiv.Result.Author('A. Asgekar'), arxiv.Result.Author('I. M. Avruch'), arxiv.Result.Author('M. E. Bell'), arxiv.Result.Author('M. J. Bentum'), arxiv.Result.Author('G. Bernardi'), arxiv.Result.Author('L. Bîrzan'), arxiv.Result.Author('A. Bonafede'), arxiv.Result.Author('F. Breitling'), arxiv.Result.Author('J. W. Broderick'), arxiv.Result.Author('M. Brüggen'), arxiv.Result.Author('B. Ciardi'), arxiv.Result.Author('S. Corbel'), arxiv.Result.Author('E. de Geus'), arxiv.Result.Author('A. de Jong'), arxiv.Result.Author('A. Deller'), arxiv.Result.Author('S. Duscha'), arxiv.Result.Author('J. Eislöffel'), arxiv.Result.Author('R. A. Fallows'), arxiv.Result.Author('R. Fender'), arxiv.Result.Author('C. Ferrari'), arxiv.Result.Author('W. Frieswijk'), arxiv.Result.Author('M. A. Garrett'), arxiv.Result.Author('A. W. Gunst'), arxiv.Result.Author('J. P. Hamaker'), arxiv.Result.Author('G. Heald'), arxiv.Result.Author('A. Horneffer'), arxiv.Result.Author('P. Jonker'), arxiv.Result.Author('E. Juette'), arxiv.Result.Author('G. Kuper'), arxiv.Result.Author('P. Maat'), arxiv.Result.Author('G. Mann'), arxiv.Result.Author('S. Markoff'), arxiv.Result.Author('R. McFadden'), arxiv.Result.Author('D. McKay-Bukowski'), arxiv.Result.Author('J. C. A. Miller-Jones'), arxiv.Result.Author('A. Nelles'), arxiv.Result.Author('H. Paas'), arxiv.Result.Author('M. Pandey-Pommier'), arxiv.Result.Author('M. Pietka'), arxiv.Result.Author('R. Pizzo'), arxiv.Result.Author('A. G. Polatidis'), arxiv.Result.Author('W. Reich'), arxiv.Result.Author('H. Röttgering'), arxiv.Result.Author('A. Rowlinson'), arxiv.Result.Author('D. Schwarz'), arxiv.Result.Author('O. Smirnov'), arxiv.Result.Author('M. Steinmetz'), arxiv.Result.Author('A. Stewart'), arxiv.Result.Author('J. D. Swinbank'), arxiv.Result.Author('M. Tagger'), arxiv.Result.Author('Y. Tang'), arxiv.Result.Author('C. Tasse'), arxiv.Result.Author('S. Thoudam'), arxiv.Result.Author('M. C. Toribio'), arxiv.Result.Author('A. J. van der Horst'), arxiv.Result.Author('R. Vermeulen'), arxiv.Result.Author('C. Vocks'), arxiv.Result.Author('R. J. van Weeren'), arxiv.Result.Author('R. A. M. J. Wijers'), arxiv.Result.Author('R. Wijnands'), arxiv.Result.Author('S. J. Wijnholds'), arxiv.Result.Author('O. Wucknitz'), arxiv.Result.Author('P. Zarka')]","38 pages, 11 figures, 5 tables, A&A in press, updated with editorial
  corrections",2015-10-30 05:31:26+00:00,"['astro-ph.HE', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/0004-637X/817/2/139,"[arxiv.Result.Author('John A. Hoffman'), arxiv.Result.Author('Bruce T. Draine')]","32 pages, 15 figures",2016-02-04 19:34:03+00:00,"['astro-ph.HE', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/0004-637X/818/2/105,"[arxiv.Result.Author('K. P. Mooley'), arxiv.Result.Author('G. Hallinan'), arxiv.Result.Author('S. Bourke'), arxiv.Result.Author('A. Horesh'), arxiv.Result.Author('S. T. Myers'), arxiv.Result.Author('D. A. Frail'), arxiv.Result.Author('S. R. Kulkarni'), arxiv.Result.Author('D. B. Levitan'), arxiv.Result.Author('M. M. Kasliwal'), arxiv.Result.Author('S. B. Cenko'), arxiv.Result.Author('Y. Cao'), arxiv.Result.Author('E. Bellm'), arxiv.Result.Author('R. R. Laher')]","26 pages, 22 figures, 4 tables. Accepted for publication in the
  Astrophysical Journal. Data products (images, catalogs, tables, and light
  curves) available at http://tauceti.caltech.edu/stripe82 . A
  regularly-updated compilation of radio transient surveys is available at
  http://www.tauceti.caltech.edu/kunal/radio-transient-surveys/index.html",2016-01-07 21:00:18+00:00,"['astro-ph.HE', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1007/s00159-018-0107-z,"[arxiv.Result.Author('Guillem Anglada'), arxiv.Result.Author('Luis F. Rodriguez'), arxiv.Result.Author('Carlos Carrasco-Gonzalez')]","50 pages, 11 figures, invited review article for The Astronomy and
  Astrophysics Review",2018-06-17 20:57:08+00:00,"['astro-ph.SR', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM']"
10.1093/mnras/stz440,"[arxiv.Result.Author('Elisa Bortolas'), arxiv.Result.Author('Michela Mapelli')]","15 pages, 10 figures, 4 tables; MNRAS, in press. Changes: we
  corrected the e-mail address for correspondence, and we added a few
  references",2019-02-26 11:15:51+00:00,"['astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM', 'astro-ph.SR', '85A05']"
,"[arxiv.Result.Author('Zhen Cao'), arxiv.Result.Author('D. della Volpe'), arxiv.Result.Author('Siming Liu'), arxiv.Result.Author('Editors'), arxiv.Result.Author(':'), arxiv.Result.Author('Xiaojun Bi'), arxiv.Result.Author('Yang Chen'), arxiv.Result.Author(""B. D'Ettorre Piazzoli""), arxiv.Result.Author('Li Feng'), arxiv.Result.Author('Huanyu Jia'), arxiv.Result.Author('Zhuo Li'), arxiv.Result.Author('Xinhua Ma'), arxiv.Result.Author('Xiangyu Wang'), arxiv.Result.Author('Xiao Zhang'), arxiv.Result.Author('External Referees'), arxiv.Result.Author(':'), arxiv.Result.Author('Xiushu Qie'), arxiv.Result.Author('Hongbo Hu'), arxiv.Result.Author('Internal Referees'), arxiv.Result.Author(':'), arxiv.Result.Author('Alejandro Sáiz'), arxiv.Result.Author('Ruizhi Yang'), arxiv.Result.Author('Contributors'), arxiv.Result.Author(':'), arxiv.Result.Author('Andrea Addazi'), arxiv.Result.Author('Konstantin Belotsky'), arxiv.Result.Author('Vitaly Beylin'), arxiv.Result.Author('Yu-Jiang Bi'), arxiv.Result.Author('Ming-Jun Che'), arxiv.Result.Author('Song-Zhan Chen'), arxiv.Result.Author('Yao-Dong Cheng'), arxiv.Result.Author('Andrea Chiavassa'), arxiv.Result.Author('Marco Cirelli'), arxiv.Result.Author('Giuseppe Di Sciascio'), arxiv.Result.Author('Arman Esmaili'), arxiv.Result.Author('Kun Fang'), arxiv.Result.Author('Nicolao Fornengo'), arxiv.Result.Author('Quanbu Gou'), arxiv.Result.Author('Yi-Qing Guo'), arxiv.Result.Author('Qingyu Gan'), arxiv.Result.Author('Guang-Hua Gong'), arxiv.Result.Author('Min-Hao Gu'), arxiv.Result.Author('Haoning He'), arxiv.Result.Author('Hui-Hai He'), arxiv.Result.Author('Chao Hou'), arxiv.Result.Author('Xing-Tao Huang'), arxiv.Result.Author('Wen-Hao Huang'), arxiv.Result.Author('Michael Kachekriess'), arxiv.Result.Author('Maxim Khlopov'), arxiv.Result.Author('Vladimir Korchagin'), arxiv.Result.Author('Alexander Korochkin'), arxiv.Result.Author('Vladimir Kuksa'), arxiv.Result.Author('Leonid T. Ksenofontov'), arxiv.Result.Author('Ye Liu'), arxiv.Result.Author('Ruo-Yu Liu'), arxiv.Result.Author('Cheng Liu'), arxiv.Result.Author('Antonino Marciano'), arxiv.Result.Author('Olivier Martineau-Huynh'), arxiv.Result.Author('Diane Martraire'), arxiv.Result.Author('Lingling Ma'), arxiv.Result.Author('Andrii Neronov'), arxiv.Result.Author('Paolo Panci'), arxiv.Result.Author('Roman Pasechnick'), arxiv.Result.Author('David Ruffolo'), arxiv.Result.Author('Alexander Sakharov'), arxiv.Result.Author('Filippo Sala'), arxiv.Result.Author('Dimiri Semikoz'), arxiv.Result.Author('Oleg Shchegolev'), arxiv.Result.Author('Pasquale Dario Serpico'), arxiv.Result.Author('Xiang-Dong Sheng'), arxiv.Result.Author('Yuri V. Stenkin'), arxiv.Result.Author('P. H. Thomas Tam'), arxiv.Result.Author('Silvia Vernetto'), arxiv.Result.Author('Piero Vallania'), arxiv.Result.Author('Nikolay Volchanskiy'), arxiv.Result.Author('Zhongxiang Wang'), arxiv.Result.Author('Kai Wang'), arxiv.Result.Author('Xiang-Yu Wang'), arxiv.Result.Author('Han-Rong Wu'), arxiv.Result.Author('Chao-Yong Wu'), arxiv.Result.Author('Sha Wu'), arxiv.Result.Author('Gang Xiao'), arxiv.Result.Author('Rui-zhi Yang'), arxiv.Result.Author('Dahai Yan'), arxiv.Result.Author('Zhi-Guo Yao'), arxiv.Result.Author('Pengfei Yin'), arxiv.Result.Author('Qiang Yuan'), arxiv.Result.Author('Xiao Zhang'), arxiv.Result.Author('Houdun Zeng'), arxiv.Result.Author('Shou-Shan Zhang'), arxiv.Result.Author('Yi Zhang'), arxiv.Result.Author('Xunxiu Zhou'), arxiv.Result.Author('Hui Zhu'), arxiv.Result.Author('Xiong Zuo')]","This document is a collaborative effort, 185 pages, 110 figures",2022-02-18 18:39:50+00:00,"['astro-ph.HE', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
,"[arxiv.Result.Author('Lori Allen'), arxiv.Result.Author('Arjun Dey'), arxiv.Result.Author('Tim Abbott'), arxiv.Result.Author('Adam Bolton'), arxiv.Result.Author('Cesar Briceno'), arxiv.Result.Author('Jay Elias'), arxiv.Result.Author('Steve Heathcote'), arxiv.Result.Author('Jayadev Rajagopal'), arxiv.Result.Author('Abhijit Saha'), arxiv.Result.Author('Verne Smith')]","10-page APC White Paper submitted to the Astro2020 Decadal Survey. To
  be published in BAAS",2019-07-24 19:26:54+00:00,"['astro-ph.IM', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1088/1538-3873/ab6069,"[arxiv.Result.Author('Kishalay De'), arxiv.Result.Author('Matthew J. Hankins'), arxiv.Result.Author('Mansi M. Kasliwal'), arxiv.Result.Author('Anna M. Moore'), arxiv.Result.Author('Eran O. Ofek'), arxiv.Result.Author('Scott M. Adams'), arxiv.Result.Author('Michael C. B. Ashley'), arxiv.Result.Author('Aliya-Nur Babul'), arxiv.Result.Author('Ashot Bagdasaryan'), arxiv.Result.Author('Kevin B. Burdge'), arxiv.Result.Author('Jill Burnham'), arxiv.Result.Author('Richard G. Dekany'), arxiv.Result.Author('Alexander Declacroix'), arxiv.Result.Author('Antony Galla'), arxiv.Result.Author('Tim Greffe'), arxiv.Result.Author('David Hale'), arxiv.Result.Author('Jacob E. Jencson'), arxiv.Result.Author('Ryan M. Lau'), arxiv.Result.Author('Ashish Mahabal'), arxiv.Result.Author('Daniel McKenna'), arxiv.Result.Author('Manasi Sharma'), arxiv.Result.Author('Patrick L. Shopbell'), arxiv.Result.Author('Roger M. Smith'), arxiv.Result.Author('Jamie Soon'), arxiv.Result.Author('Jennifer Sokoloski'), arxiv.Result.Author('Roberto Soria'), arxiv.Result.Author('Tony Travouillon')]","35 pages, 29 figures. Submitted to PASP",2019-10-29 15:33:53+00:00,"['astro-ph.IM', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.3847/25c2cfeb.13af6a03,"[arxiv.Result.Author('Frank Timmes'), arxiv.Result.Author('Rich Townsend'), arxiv.Result.Author('Lars Bildsten')]","21 pages; report for the Ford and Sloan Foundation's Digital
  Infrastructure Research Program",2020-01-08 15:12:12+00:00,"['astro-ph.IM', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1051/0004-6361/202141536,"[arxiv.Result.Author('Dorottya Szécsi'), arxiv.Result.Author('Poojan Agrawal'), arxiv.Result.Author('Richard Wünsch'), arxiv.Result.Author('Norbert Langer')]",Accepted by A&A,2021-12-28 16:45:26+00:00,"['astro-ph.SR', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM']"
,"[arxiv.Result.Author('S. R. Kulkarni'), arxiv.Result.Author('Fiona A. Harrison'), arxiv.Result.Author('Brian W. Grefenstette'), arxiv.Result.Author('Hannah P. Earnshaw'), arxiv.Result.Author('Igor Andreoni'), arxiv.Result.Author('Danielle A. Berg'), arxiv.Result.Author('Joshua S. Bloom'), arxiv.Result.Author('S. Bradley Cenko'), arxiv.Result.Author('Ryan Chornock'), arxiv.Result.Author('Jessie L. Christiansen'), arxiv.Result.Author('Michael W. Coughlin'), arxiv.Result.Author('Alexander Wuollet Criswell'), arxiv.Result.Author('Behnam Darvish'), arxiv.Result.Author('Kaustav K. Das'), arxiv.Result.Author('Kishalay De'), arxiv.Result.Author('Luc Dessart'), arxiv.Result.Author('Don Dixon'), arxiv.Result.Author('Bas Dorsman'), arxiv.Result.Author('Kareem El-Badry'), arxiv.Result.Author('Christopher Evans'), arxiv.Result.Author('K. E. Saavik Ford'), arxiv.Result.Author('Christoffer Fremling'), arxiv.Result.Author('Boris T. Gansicke'), arxiv.Result.Author('Suvi Gezari'), arxiv.Result.Author('Y. Goetberg'), arxiv.Result.Author('Gregory M. Green'), arxiv.Result.Author('Matthew J. Graham'), arxiv.Result.Author('Marianne Heida'), arxiv.Result.Author('Anna Y. Q. Ho'), arxiv.Result.Author('Amruta D. Jaodand'), arxiv.Result.Author('Christopher M. Johns-Krull'), arxiv.Result.Author('Mansi M. Kasliwal'), arxiv.Result.Author('Margaret Lazzarini'), arxiv.Result.Author('Wenbin Lu'), arxiv.Result.Author('Raffaella Margutti'), arxiv.Result.Author('D. Christopher Martin'), arxiv.Result.Author('Daniel Charles Masters'), arxiv.Result.Author('Barry McKernan'), arxiv.Result.Author('Yael Naze'), arxiv.Result.Author('Samaya M. Nissanke'), arxiv.Result.Author('B. Parazin'), arxiv.Result.Author('Daniel A. Perley'), arxiv.Result.Author('E. Sterl Phinney'), arxiv.Result.Author('Anthony L. Piro'), arxiv.Result.Author('G. Raaijmakers'), arxiv.Result.Author('Gregor Rauw'), arxiv.Result.Author('Antonio C. Rodriguez'), arxiv.Result.Author('Hugues Sana'), arxiv.Result.Author('Peter Senchyna'), arxiv.Result.Author('Leo P. Singer'), arxiv.Result.Author('Jessica J. Spake'), arxiv.Result.Author('Keivan G. Stassun'), arxiv.Result.Author('Daniel Stern'), arxiv.Result.Author('Harry I. Teplitz'), arxiv.Result.Author('Daniel R. Weisz'), arxiv.Result.Author('Yuhan Yao')]","69 pages, 43 figures",2023-01-18 00:46:55+00:00,"['astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM', 'astro-ph.SR']"
,"[arxiv.Result.Author('Kelly M. Hambleton'), arxiv.Result.Author('Federica B. Bianco'), arxiv.Result.Author('Rachel Street'), arxiv.Result.Author('Keaton Bell'), arxiv.Result.Author('David Buckley'), arxiv.Result.Author('Melissa Graham'), arxiv.Result.Author('Nina Hernitschek'), arxiv.Result.Author('Michael B. Lund'), arxiv.Result.Author('Elena Mason'), arxiv.Result.Author('Joshua Pepper'), arxiv.Result.Author('Andrej Prsa'), arxiv.Result.Author('Markus Rabus'), arxiv.Result.Author('Claudia M. Raiteri'), arxiv.Result.Author('Robert Szabo'), arxiv.Result.Author('Paula Szkody'), arxiv.Result.Author('Igor Andreoni'), arxiv.Result.Author('Simone Antoniucci'), arxiv.Result.Author('Barbara Balmaverde'), arxiv.Result.Author('Eric Bellm'), arxiv.Result.Author('Rosaria Bonito'), arxiv.Result.Author('Giuseppe Bono'), arxiv.Result.Author('Maria Teresa Botticella'), arxiv.Result.Author('Enzo Brocato'), arxiv.Result.Author('Katja Bucar Bricman'), arxiv.Result.Author('Enrico Cappellaro'), arxiv.Result.Author('Maria Isabel Carnerero'), arxiv.Result.Author('Ryan Chornock'), arxiv.Result.Author('Riley Clarke'), arxiv.Result.Author('Phil Cowperthwaite'), arxiv.Result.Author('Antonino Cucchiara'), arxiv.Result.Author(""Filippo D'Ammando""), arxiv.Result.Author('Kristen C. Dage'), arxiv.Result.Author(""Massimo Dall'Ora""), arxiv.Result.Author('James R. A. Davenport'), arxiv.Result.Author('Domitilla de Martino'), arxiv.Result.Author('Giulia de Somma'), arxiv.Result.Author('Marcella Di Criscienzo'), arxiv.Result.Author('Rosanne Di Stefano'), arxiv.Result.Author('Maria Drout'), arxiv.Result.Author('Michele Fabrizio'), arxiv.Result.Author('Giuliana Fiorentino'), arxiv.Result.Author('Poshak Gandhi'), arxiv.Result.Author('Alessia Garofalo'), arxiv.Result.Author('Teresa Giannini'), arxiv.Result.Author('Andreja Gomboc'), arxiv.Result.Author('Laura Greggio'), arxiv.Result.Author('Patrick Hartigan'), arxiv.Result.Author('Markus Hundertmark'), arxiv.Result.Author('Elizabeth Johnson'), arxiv.Result.Author('Michael Johnson'), arxiv.Result.Author('Tomislav Jurkic'), arxiv.Result.Author('Somayeh Khakpash'), arxiv.Result.Author('Silvio Leccia'), arxiv.Result.Author('Xiaolong Li'), arxiv.Result.Author('Davide Magurno'), arxiv.Result.Author('Konstantin Malanchev'), arxiv.Result.Author('Marcella Marconi'), arxiv.Result.Author('Raffaella Margutti'), arxiv.Result.Author('Silvia Marinoni'), arxiv.Result.Author('Nicolas Mauron'), arxiv.Result.Author('Roberto Molinaro'), arxiv.Result.Author('Anais Moller'), arxiv.Result.Author('Marc Moniez'), arxiv.Result.Author('Tatiana Muraveva'), arxiv.Result.Author('Ilaria Musella'), arxiv.Result.Author('Chow-Choong Ngeow'), arxiv.Result.Author('Andrea Pastorello'), arxiv.Result.Author('Vincenzo Petrecca'), arxiv.Result.Author('Silvia Piranomonte'), arxiv.Result.Author('Fabio Ragosta'), arxiv.Result.Author('Andrea Reguitti'), arxiv.Result.Author('Chiara Righi'), arxiv.Result.Author('Vincenzo Ripepi'), arxiv.Result.Author('Liliana Rivera Sandoval'), arxiv.Result.Author('Keivan G. Stassun'), arxiv.Result.Author('Michael Stroh'), arxiv.Result.Author('Giacomo Terreran'), arxiv.Result.Author('Virginia Trimble'), arxiv.Result.Author('Yiannis Tsapras'), arxiv.Result.Author('Sjoert van Velzen'), arxiv.Result.Author('Laura Venuti'), arxiv.Result.Author('Jorick S. Vink')]","202 pages (in book format) 34 figures plus chapter heading figures
  (13)",2022-08-09 02:09:13+00:00,"['astro-ph.IM', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1088/0067-0049/218/2/21,"[arxiv.Result.Author('V. Lebouteiller'), arxiv.Result.Author('D. J. Barry'), arxiv.Result.Author('C. Goes'), arxiv.Result.Author('G. C. Sloan'), arxiv.Result.Author('H. W. W. Spoon'), arxiv.Result.Author('D. W. Weedman'), arxiv.Result.Author('J. Bernard-Salas'), arxiv.Result.Author('J. R. Houck')]",Accepted on May 11th 2015 in ApJS,2015-06-25 04:34:43+00:00,"['astro-ph.IM', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
,"[arxiv.Result.Author('Sabyasachi Pal'), arxiv.Result.Author('Dusmanta Patra'), arxiv.Result.Author('Monique Hollick'), arxiv.Result.Author('Sandip K. Chakrabarti')]",,2017-07-12 19:20:07+00:00,"['astro-ph.HE', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1093/mnras/stz628,"[arxiv.Result.Author('Ammar Askar'), arxiv.Result.Author('Abbas Askar'), arxiv.Result.Author('Mario Pasquato'), arxiv.Result.Author('Mirek Giersz')]","20 pages, 9 figures, 7 tables. Accepted for publication in MNRAS.
  Source code available at
  https://github.com/ammaraskar/black-holes-black-boxes",2019-03-01 19:37:09+00:00,"['astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM', 'astro-ph.SR']"
10.1093/mnras/stz3381,"[arxiv.Result.Author('Igor Andreoni'), arxiv.Result.Author('Jeffrey Cooke'), arxiv.Result.Author('Sara Webb'), arxiv.Result.Author('Armin Rest'), arxiv.Result.Author('Tyler A. Pritchard'), arxiv.Result.Author('Manisha Caleb'), arxiv.Result.Author('Seo-Won Chang'), arxiv.Result.Author('Wael Farah'), arxiv.Result.Author('Amy Lien'), arxiv.Result.Author('Anais Möller'), arxiv.Result.Author('Maria Edvige Ravasio'), arxiv.Result.Author('Timothy M. C. Abbott'), arxiv.Result.Author('Shivani Bhandari'), arxiv.Result.Author('Antonino Cucchiara'), arxiv.Result.Author('Christopher M. Flynn'), arxiv.Result.Author('Fabian Jankowski'), arxiv.Result.Author('Evan F. Keane'), arxiv.Result.Author('Takashi J. Moriya'), arxiv.Result.Author('Christopher Onken'), arxiv.Result.Author('Aditya Parthasarathy'), arxiv.Result.Author('Daniel C. Price'), arxiv.Result.Author('Emily Petroff'), arxiv.Result.Author('Stuart Ryder'), arxiv.Result.Author('Dany Vohl'), arxiv.Result.Author('Christian Wolf')]",Published in MNRAS,2020-02-03 18:16:52+00:00,"['astro-ph.HE', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1088/1538-3873/ab99cd,"[arxiv.Result.Author('Charles L. H. Hull'), arxiv.Result.Author('Paulo C. Cortes'), arxiv.Result.Author('Valentin J. M. Le Gouellec'), arxiv.Result.Author('Josep M. Girart'), arxiv.Result.Author('Hiroshi Nagai'), arxiv.Result.Author('Kouichiro Nakanishi'), arxiv.Result.Author('Seiji Kameno'), arxiv.Result.Author('Edward B. Fomalont'), arxiv.Result.Author('Crystal L. Brogan'), arxiv.Result.Author('George A. Moellenbrock'), arxiv.Result.Author('Rosita Paladino'), arxiv.Result.Author('Eric Villard')]","19 pages, 13 figures, 5 tables, 1 appendix. Accepted for publication
  in PASP. The data used in this paper were taken as part of the ALMA Extension
  and Optimization of Capabilities (EOC) program, and will be available (along
  with all calibration and imaging scripts) via the ALMA Science Archive on 1
  Oct 2020",2020-06-05 20:34:53+00:00,"['astro-ph.IM', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
,"[arxiv.Result.Author('S. Bradley Cenko'), arxiv.Result.Author('Patricia A. Whitelock'), arxiv.Result.Author('Laura Cadonati'), arxiv.Result.Author('Valerie Connaughton'), arxiv.Result.Author('Roger Davies'), arxiv.Result.Author('Rob Fender'), arxiv.Result.Author('Paul J. Groot'), arxiv.Result.Author('Mansi M. Kasliwal'), arxiv.Result.Author('Tara Murphy'), arxiv.Result.Author('Samaya Nissanke'), arxiv.Result.Author('Alberto Sesana'), arxiv.Result.Author('Shigeru Yoshida'), arxiv.Result.Author('Binbin Zhang')]","This White Paper describes the outcomes and recommendations from the
  Transients2020 Workshop, held at the South African Astronomical Observatory.
  This ArXiv submission constitutes its publication. 28 pages, no figures",2020-07-10 18:00:15+00:00,"['astro-ph.IM', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1051/0004-6361/202141449,"[arxiv.Result.Author('F. Moreno-Insertis'), arxiv.Result.Author('D. Nóbrega-Siverio'), arxiv.Result.Author('E. R. Priest'), arxiv.Result.Author('A. W. Hood')]","15 pages, 10 figures and accompanying animations. Accepted for
  publication in Astronomy & Astrophysics, Section Astrophysical Processes",2022-03-11 22:51:06+00:00,"['astro-ph.SR', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM']"
10.1093/mnras/stac1065,"[arxiv.Result.Author('A. Gargiulo'), arxiv.Result.Author('M. Fumana'), arxiv.Result.Author('S. Bisogni'), arxiv.Result.Author('P. Franzetti'), arxiv.Result.Author('L. P. Cassarà'), arxiv.Result.Author('B. Garilli'), arxiv.Result.Author('M. Scodeggio'), arxiv.Result.Author('G. Vietri')]","13 pages, 8 figures. This article has been published in MNRAS:
  Gargiulo et al., 2022. Published by Oxford University Press on behalf of the
  Royal Astronomical Society. All rights reserved",2022-09-12 17:44:49+00:00,"['astro-ph.IM', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1088/1538-3873/ac81ed,"[arxiv.Result.Author('Ilse M. van Bemmel'), arxiv.Result.Author('Mark Kettenis'), arxiv.Result.Author('Des Small'), arxiv.Result.Author('Michael Janssen'), arxiv.Result.Author('George A. Moellenbrock'), arxiv.Result.Author('Dirk Petry'), arxiv.Result.Author('Ciriaco Goddi'), arxiv.Result.Author('Justin D. Linford'), arxiv.Result.Author('Kazi L. J. Rygl'), arxiv.Result.Author('Elisabetta Liuzzo'), arxiv.Result.Author('Benito Marcote'), arxiv.Result.Author('Olga S. Bayandina'), arxiv.Result.Author('Neal Schweigart'), arxiv.Result.Author('Marjolein Verkouter'), arxiv.Result.Author('Aard Keimpema'), arxiv.Result.Author('Arpad Szomoru'), arxiv.Result.Author('Huib Jan van Langevelde')]","PASP in press, joint submission with the CASA reference paper; 12
  pages, 5 figures",2022-10-05 13:59:19+00:00,"['astro-ph.IM', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
